ID,date,month,weekday,hour,count,WEATHER_CODE
101,2016-02-02,2,Tuesday,Night,1,Not Applicable
101,2016-02-03,2,Wednesday,Evening,1,Foggy
101,2016-02-05,2,Friday,Evening,1,Clear
101,2016-02-05,2,Friday,Night,3,Clear
101,2016-02-06,2,Saturday,Evening,1,Clear
101,2016-02-06,2,Saturday,Night,1,Clear
101,2016-02-09,2,Tuesday,Afternoon,1,Snow
101,2016-02-10,2,Wednesday,Evening,1,Clear
101,2016-02-11,2,Thursday,Morning,2,Clear
101,2016-02-12,2,Friday,Evening,1,Cloudy
101,2016-02-12,2,Friday,Night,1,Wintry Mix
101,2016-02-13,2,Saturday,Night,1,Snow
101,2016-02-14,2,Sunday,Evening,1,Clear
101,2016-02-15,2,Monday,Afternoon,1,Snow
101,2016-02-15,2,Monday,Evening,1,Sleet
101,2016-02-15,2,Monday,Night,1,Sleet
101,2016-02-16,2,Tuesday,Afternoon,2,Cloudy
101,2016-02-16,2,Tuesday,Night,1,Wintry Mix
101,2016-02-17,2,Wednesday,Night,1,Clear
101,2016-02-18,2,Thursday,Evening,1,Clear
101,2016-02-19,2,Friday,Afternoon,1,Clear
101,2016-02-21,2,Sunday,Afternoon,1,Unknown
101,2016-02-22,2,Monday,Afternoon,1,Clear
101,2016-02-22,2,Monday,Evening,1,Clear
101,2016-02-25,2,Thursday,Evening,1,Clear
101,2016-02-26,2,Friday,Evening,1,Clear
101,2016-02-27,2,Saturday,Afternoon,1,Clear
101,2016-02-27,2,Saturday,Evening,1,Clear
101,2016-02-27,2,Saturday,Night,1,Clear
101,2016-03-03,3,Thursday,Night,1,Clear
101,2016-03-04,3,Friday,Morning,1,Clear
101,2016-03-05,3,Saturday,Morning,1,Clear
101,2016-03-05,3,Saturday,Night,1,Clear
101,2016-03-08,3,Tuesday,Morning,1,Clear
101,2016-03-08,3,Tuesday,Night,1,Clear
101,2016-03-11,3,Friday,Evening,1,Clear
101,2016-03-12,3,Saturday,Night,1,Cloudy
101,2016-03-13,3,Sunday,Evening,1,Raining
